EventID,EventType,StartDateTime,EndDateTime,EnteredOn,EventAgency,ParkingHeld,Borough,CommunityBoard(s),PolicePrecinct(s),Category,SubCategoryName,Country,ZipCode(s)
457711,Shooting Permit,12/29/2018 04:00:00 AM,12/29/2018 10:00:00 AM,12/28/2018 12:12:51 PM,"Mayor's Office of Film, Theatre & Broadcasting",WEST   48 STREET between 6 AVENUE and 7 AVENUE,Manhattan,5,18,Television,News,United States of America,"10036, 10105"
457339,Shooting Permit,12/24/2018 04:00:00 AM,12/24/2018 11:00:00 AM,12/21/2018 04:17:47 PM,"Mayor's Office of Film, Theatre & Broadcasting",WEST   48 STREET between 6 AVENUE and 7 AVENUE,Manhattan,5,18,Television,News,United States of America,"10036, 10105"
457330,Shooting Permit,12/28/2018 06:00:00 AM,12/28/2018 09:00:00 PM,12/21/2018 03:42:49 PM,"Mayor's Office of Film, Theatre & Broadcasting",3 AVENUE between BRUCKNER BOULEVARD and EAST  134 STREET,Bronx,1,40,WEB,Not Applicable,United States of America,"10451, 10454"
457331,Shooting Permit,12/29/2018 06:00:00 AM,12/29/2018 06:00:00 PM,12/21/2018 03:42:49 PM,"Mayor's Office of Film, Theatre & Broadcasting",HOME STREET between WESTCHESTER AVENUE and LONGFELLOW AVENUE,Bronx,3,42,WEB,Not Applicable,United States of America,10459
457299,Shooting Permit,12/27/2018 12:01:00 AM,01/12/2019 11:59:00 PM,12/21/2018 12:48:35 PM,"Mayor's Office of Film, Theatre & Broadcasting","AMSTERDAM AVENUE between WEST   62 STREET and WEST   65 STREET,  AMSTERDAM AVENUE between WEST   62 STREET and WEST   65 STREET,  AMSTERDAM AVENUE between WEST   62 STREET and WEST   65 STREET,  AMSTERDAM AVENUE between WEST   62 STREET and WEST   65 STREET,  AMSTERDAM AVENUE between WEST   62 STREET and WEST   65 STREET,  AMSTERDAM AVENUE between WEST   62 STREET and WEST   65 STREET",Manhattan,7,20,Television,Not Applicable,United States of America,10023
457291,Shooting Permit,12/23/2018 04:00:00 AM,12/23/2018 11:00:00 AM,12/21/2018 12:18:48 PM,"Mayor's Office of Film, Theatre & Broadcasting",WEST   48 STREET between 6 AVENUE and 7 AVENUE,Manhattan,5,18,Television,News,United States of America,"10036, 10105"
457137,Theater Load in and Load Outs,12/28/2018 06:00:00 AM,12/28/2018 06:00:00 PM,12/20/2018 12:48:16 PM,"Mayor's Office of Film, Theatre & Broadcasting",ASHLAND PLACE between HANSON PLACE and LAFAYETTE AVENUE,Brooklyn,2,88,Theater,Theater,United States of America,11217
457124,Shooting Permit,12/21/2018 05:00:00 PM,12/23/2018 07:00:00 AM,12/20/2018 11:49:46 AM,"Mayor's Office of Film, Theatre & Broadcasting","STEWART AVENUE between MESEROLE STREET and SCHOLES STREET,  STEWART AVENUE between MESEROLE STREET and SCHOLES STREET,  STEWART AVENUE between MESEROLE STREET and SCHOLES STREET,  INGRAHAM STREET between PORTER AVENUE and KNICKERBOCKER AVENUE",Brooklyn,1,90,Music Video,Not Applicable,United States of America,11237
457099,Shooting Permit,12/21/2018 10:00:00 AM,12/22/2018 12:00:00 AM,12/20/2018 09:50:01 AM,"Mayor's Office of Film, Theatre & Broadcasting","KINGSLAND AVENUE between NORMAN AVENUE and GREENPOINT AVENUE,  NORMAN AVENUE between KINGSLAND AVENUE and HAUSMAN STREET",Brooklyn,1,94,Television,Episodic series,United States of America,11222
457068,Shooting Permit,12/21/2018 07:00:00 AM,12/21/2018 09:00:00 PM,12/19/2018 06:46:11 PM,"Mayor's Office of Film, Theatre & Broadcasting","MESEROLE AVENUE between JEWEL STREET and DIAMOND STREET,  DIAMOND STREET between MESEROLE AVENUE and CALYER STREET,  JEWEL STREET between MESEROLE AVENUE and CALYER STREET",Brooklyn,1,94,Television,Episodic series,United States of America,11222
457040,Shooting Permit,12/22/2018 12:00:00 AM,12/22/2018 01:00:00 PM,12/19/2018 03:27:23 PM,"Mayor's Office of Film, Theatre & Broadcasting",WEST   48 STREET between 6 AVENUE and 7 AVENUE,Manhattan,5,18,Television,News,United States of America,"10036, 10105"
457038,Rigging Permit,12/21/2018 01:00:00 PM,12/21/2018 11:59:00 PM,12/19/2018 03:20:49 PM,"Mayor's Office of Film, Theatre & Broadcasting",WEST   48 STREET between 6 AVENUE and 7 AVENUE,Manhattan,5,18,Television,News,United States of America,"10036, 10105"
457030,Theater Load in and Load Outs,12/28/2018 09:00:00 PM,12/29/2018 11:59:00 PM,12/19/2018 02:56:46 PM,"Mayor's Office of Film, Theatre & Broadcasting",SEVENTH AVENUE between WEST   57 STREET and WEST   56 STREET,Manhattan,5,18,Theater,Theater,United States of America,"10019, 10106"
457011,Shooting Permit,12/20/2018 07:00:00 AM,12/20/2018 09:00:00 PM,12/19/2018 01:10:14 PM,"Mayor's Office of Film, Theatre & Broadcasting","STARR AVENUE between BORDEN AVENUE and VAN DAM STREET,  REVIEW AVENUE between BORDEN AVENUE and VAN DAM STREET,  21 STREET between QUEENS PLAZA SOUTH and 43 AVENUE,  43 AVENUE between 21 STREET and 22 STREET,  22 STREET between 43 AVENUE and QUEENS PLAZA SOUTH",Queens,2,108,Television,Episodic series,United States of America,11101
457002,Shooting Permit,12/21/2018 08:00:00 AM,12/21/2018 11:00:00 PM,12/19/2018 12:31:03 PM,"Mayor's Office of Film, Theatre & Broadcasting","COVERT STREET between WYCKOFF AVENUE and IRVING AVENUE,  IRVING AVENUE between COVERT STREET and ELDERT STREET",Queens,"4, 5","104, 83",Television,Episodic series,United States of America,"11237, 11385"
457000,Shooting Permit,12/20/2018 08:30:00 AM,12/20/2018 11:00:00 PM,12/19/2018 12:27:48 PM,"Mayor's Office of Film, Theatre & Broadcasting","COVERT STREET between WYCKOFF AVENUE and IRVING AVENUE,  IRVING AVENUE between COVERT STREET and ELDERT STREET",Queens,"4, 5","104, 83",Television,Episodic series,United States of America,"11237, 11385"
456996,Shooting Permit,12/21/2018 10:00:00 AM,12/22/2018 02:00:00 AM,12/19/2018 12:07:35 PM,"Mayor's Office of Film, Theatre & Broadcasting","EAST  139 STREET between LOCUST AVENUE and WALNUT AVENUE,  WALNUT AVENUE between EAST  139 STREET and EAST  140 STREET,  EAST  140 STREET between WALNUT AVENUE and LOCUST AVENUE,  LOCUST AVENUE between EAST  139 STREET and EAST  136 STREET",Bronx,1,40,Television,Episodic series,United States of America,10454
456951,Shooting Permit,12/21/2018 12:00:00 PM,12/22/2018 02:00:00 AM,12/18/2018 06:35:35 PM,"Mayor's Office of Film, Theatre & Broadcasting","Cooper Ave between 83 STREET and 80th St,  83 STREET between COOPER AVENUE and DORAN AVENUE",Queens,5,104,Television,Episodic series,United States of America,11385
456949,Shooting Permit,12/20/2018 12:00:00 PM,12/21/2018 02:00:00 AM,12/18/2018 05:34:16 PM,"Mayor's Office of Film, Theatre & Broadcasting","JAVA STREET between WEST STREET and DEAD END,  KENT STREET between WEST STREET and DEAD END,  GREENPOINT AVENUE between WEST STREET and DEAD END",Brooklyn,1,94,Television,Episodic series,United States of America,11222
456929,Shooting Permit,12/21/2018 09:00:00 AM,12/21/2018 11:00:00 PM,12/18/2018 03:13:37 PM,"Mayor's Office of Film, Theatre & Broadcasting","NORTH HENRY STREET between GREENPOINT AVENUE and MESEROLE AVENUE,  RUSSELL STREET between GREENPOINT AVENUE and CALYER STREET",Brooklyn,1,94,Television,Episodic series,United States of America,11222
456927,Shooting Permit,12/20/2018 09:00:00 AM,12/20/2018 11:00:00 PM,12/18/2018 03:07:33 PM,"Mayor's Office of Film, Theatre & Broadcasting","NORTH HENRY STREET between GREENPOINT AVENUE and MESEROLE AVENUE,  RUSSELL STREET between GREENPOINT AVENUE and CALYER STREET",Brooklyn,1,94,Television,Episodic series,United States of America,11222
456921,Shooting Permit,12/20/2018 09:00:00 AM,12/21/2018 03:00:00 AM,12/18/2018 02:39:07 PM,"Mayor's Office of Film, Theatre & Broadcasting","2ND ST between 1 AVENUE and 2 AVENUE,  2ND AVE between EAST    2 STREET and EAST    3 STREET,  EAST    3 STREET between 1 AVENUE and 2 AVENUE,  EAST    3 STREET between 2 AVENUE and BOWERY",Manhattan,3,9,Television,Episodic series,United States of America,10003
456911,Shooting Permit,12/19/2018 12:00:00 PM,12/20/2018 02:00:00 AM,12/18/2018 01:48:01 PM,"Mayor's Office of Film, Theatre & Broadcasting","WEST   58 STREET between 6 AVENUE and 7 AVENUE,  WEST   58 STREET between 7 AVENUE and BROADWAY,  7 AVENUE between WEST   57 STREET and CENTRAL PARK SOUTH,  6 AVENUE between WEST   57 STREET and CENTRAL PARK SOUTH,  BROADWAY between COLUMBUS CIRCLE and WEST   57 STREET",Manhattan,5,18,Television,Episodic series,United States of America,10019
456898,Shooting Permit,12/21/2018 10:30:00 AM,12/21/2018 11:30:00 PM,12/18/2018 12:27:58 PM,"Mayor's Office of Film, Theatre & Broadcasting","EAST   18 STREET between 5 AVENUE and BROADWAY,  EAST   18 STREET between PARK AVENUE SOUTH and BROADWAY,  PARK AVENUE SOUTH between EAST   18 STREET and EAST   20 STREET,  BROADWAY between EAST   18 STREET and EAST   19 STREET,  EAST   20 STREET between PARK AVENUE SOUTH and BROADWAY",Manhattan,5,13,Television,Episodic series,United States of America,10003
456854,Shooting Permit,12/23/2018 05:00:00 AM,12/23/2018 11:00:00 AM,12/18/2018 08:58:54 AM,"Mayor's Office of Film, Theatre & Broadcasting",WEST   48 STREET between 6 AVENUE and 7 AVENUE,Manhattan,5,18,Television,News,United States of America,"10036, 10105"
456852,Shooting Permit,12/20/2018 04:00:00 AM,12/20/2018 10:00:00 AM,12/18/2018 08:45:54 AM,"Mayor's Office of Film, Theatre & Broadcasting",WEST   48 STREET between 6 AVENUE and 7 AVENUE,Manhattan,5,18,Television,News,United States of America,"10036, 10105"
456821,Shooting Permit,12/20/2018 07:00:00 AM,12/20/2018 09:00:00 PM,12/17/2018 05:30:49 PM,"Mayor's Office of Film, Theatre & Broadcasting","BROOME STREET between FORSYTH STREET and ELDRIDGE STREET,  FORSYTH STREET between GRAND STREET and HESTER STREET,  GRAND STREET between FORSYTH STREET and CHRYSTIE STREET,  FORSYTH STREET between GRAND STREET and DELANCEY STREET",Manhattan,3,5,Television,Episodic series,United States of America,10002
456777,Shooting Permit,12/19/2018 08:00:00 AM,12/19/2018 10:00:00 PM,12/17/2018 02:28:25 PM,"Mayor's Office of Film, Theatre & Broadcasting","NORTH HENRY STREET between GREENPOINT AVENUE and MESEROLE AVENUE,  RUSSELL STREET between GREENPOINT AVENUE and CALYER STREET",Brooklyn,1,94,Television,Episodic series,United States of America,11222
456753,Shooting Permit,12/21/2018 07:00:00 AM,12/21/2018 11:00:00 PM,12/17/2018 01:42:03 PM,"Mayor's Office of Film, Theatre & Broadcasting","QUEENS PLAZA SOUTH between 21 STREET and 22 STREET,  22 STREET between QUEENS PLAZA SOUTH and 43 AVENUE",Queens,2,108,Television,Episodic series,United States of America,11101
456747,Shooting Permit,12/20/2018 09:00:00 AM,12/20/2018 11:00:00 PM,12/17/2018 01:34:49 PM,"Mayor's Office of Film, Theatre & Broadcasting","WEST   23 STREET between 8 AVENUE and 9 AVENUE,  WEST   22 STREET between 8 AVENUE and 9 AVENUE,  WEST   24 STREET between 8 AVENUE and 9 AVENUE,  9 AVENUE between WEST   22 STREET and WEST   23 STREET,  BROADWAY between EAST   18 STREET and EAST   19 STREET,  EAST   18 STREET between BROADWAY and 5 AVENUE,  EAST   20 STREET between 5 AVENUE and PARK AVENUE SOUTH,  EAST   19 STREET between 5 AVENUE and PARK AVENUE SOUTH,  5 AVENUE between EAST   18 STREET and EAST   20 STREET",Manhattan,"4, 5","10, 13",Television,Episodic series,United States of America,"10003, 10011"
456728,Shooting Permit,12/20/2018 06:00:00 AM,12/20/2018 08:00:00 PM,12/17/2018 01:02:06 PM,"Mayor's Office of Film, Theatre & Broadcasting","WEST   57 STREET between 11 AVENUE and WEST SIDE HIGHWAY,  58 STREET between 11 AVENUE and 12 AVENUE",Manhattan,"12, 4","18, 66",Commercial,Commercial,United States of America,"10019, 11219"
456727,Shooting Permit,12/19/2018 06:00:00 AM,12/19/2018 08:00:00 PM,12/17/2018 01:02:06 PM,"Mayor's Office of Film, Theatre & Broadcasting","WEBSTER AVENUE between BEDFORD PARK BOULEVARD and BOTANICAL SQUARE SOUTH,  WEBSTER AVENUE between BEDFORD PARK BOULEVARD and BOTANICAL SQUARE NORTH,  BOTANCIAL SQUARE SOUTH between WEBSTER AVE and BOTANICAL SQUARE",Bronx,7,52,Commercial,Commercial,United States of America,10458
456711,Shooting Permit,12/20/2018 10:00:00 AM,12/20/2018 11:00:00 PM,12/17/2018 12:15:08 PM,"Mayor's Office of Film, Theatre & Broadcasting","VERNON BOULEVARD between QUEENS PLAZA SOUTH and 41 AVENUE,  VERNON BOULEVARD between QUEENS PLAZA SOUTH and 41 AVENUE,  VERNON BOULEVARD between 40 AVENUE and 41 AVENUE,  QUEENS PLAZA SOUTH between 21 STREET and 22 STREET,  22 STREET between QUEENS PLAZA SOUTH and 43 AVENUE",Queens,"1, 2","108, 114",Television,Episodic series,United States of America,11101
456704,Shooting Permit,12/21/2018 06:00:00 AM,12/21/2018 10:00:00 PM,12/17/2018 12:02:30 PM,"Mayor's Office of Film, Theatre & Broadcasting","35 STREET between 34 AVENUE and 35 AVENUE,  35 AVENUE between 35 STREET and 36 STREET",Queens,1,114,Television,Cable-episodic,United States of America,11106
456694,Shooting Permit,12/20/2018 07:00:00 AM,12/20/2018 10:00:00 PM,12/17/2018 11:43:49 AM,"Mayor's Office of Film, Theatre & Broadcasting","EAST   26 STREET between PARK AVENUE SOUTH and MADISON AVENUE,  PARK AVENUE SOUTH between EAST   26 STREET and EAST   27 STREET,  PARK AVENUE SOUTH between EAST   26 STREET and EAST   30 STREET,  EAST   28 STREET between PARK AVENUE SOUTH and LEXINGTON AVENUE,  EAST   29 STREET between PARK AVENUE SOUTH and LEXINGTON AVENUE,  LEXINGTON AVENUE between EAST   28 STREET and EAST   29 STREET,  LEXINGTON AVENUE between EAST   29 STREET and EAST   30 STREET",Manhattan,"5, 6","13, 14",Television,Cable-episodic,United States of America,"10010, 10016"
456693,Shooting Permit,12/19/2018 06:00:00 AM,12/19/2018 10:00:00 PM,12/17/2018 11:43:26 AM,"Mayor's Office of Film, Theatre & Broadcasting","35 STREET between 34 AVENUE and 35 AVENUE,  35 AVENUE between 35 STREET and 36 STREET",Queens,1,114,Television,Cable-episodic,United States of America,11106
456692,Shooting Permit,12/20/2018 09:00:00 AM,12/21/2018 02:00:00 AM,12/17/2018 11:42:52 AM,"Mayor's Office of Film, Theatre & Broadcasting","WEST STREET between FREEMAN STREET and EAGLE STREET,  EAGLE STREET between WEST STREET and FRANKLIN STREET",Brooklyn,1,94,Television,Episodic series,United States of America,11222
456653,Shooting Permit,12/19/2018 10:00:00 AM,12/20/2018 01:00:00 AM,12/17/2018 10:07:17 AM,"Mayor's Office of Film, Theatre & Broadcasting","MERMAID AVENUE between WEST   29 STREET and WEST   25 STREET,  MERMAID AVENUE between WEST   29 STREET and WEST   28 STREET,  WEST   28 STREET between NEPTUNE AVENUE and MERMAID AVENUE,  WEST   28 STREET between MERMAID AVENUE and SURF AVENUE,  WEST   29 STREET between NEPTUNE AVENUE and MERMAID AVENUE,  NEPTUNE AVENUE between WEST   31 STREET and WEST   28 STREET,  BAYVIEW AVENUE between NEPTUNE AVENUE and WEST   33 STREET,  SURF AVENUE between STILLWELL AVENUE and WEST   10 STREET,  STILLWELL AVENUE between SURF AVENUE and DEAD END,  W 12TH ST between SURF AVENUE and DEAD END,  Bowery St between W 12th St and Ruby Jacobs Walk",Brooklyn,13,60,Television,Episodic series,United States of America,"11223, 11224"
456651,Theater Load in and Load Outs,12/20/2018 12:01:00 AM,12/21/2018 06:00:00 AM,12/17/2018 09:58:34 AM,"Mayor's Office of Film, Theatre & Broadcasting",WEST   43 STREET between BROADWAY and 6 AVENUE,Manhattan,5,14,Theater,Theater,United States of America,10036
456638,Shooting Permit,12/19/2018 07:00:00 AM,12/19/2018 08:00:00 PM,12/17/2018 09:07:46 AM,"Mayor's Office of Film, Theatre & Broadcasting","BROOME STREET between FORSYTH STREET and ELDRIDGE STREET,  FORSYTH STREET between GRAND STREET and DELANCEY STREET,  FORSYTH STREET between GRAND STREET and HESTER STREET,  GRAND STREET between FORSYTH STREET and CHRYSTIE STREET",Manhattan,3,5,Television,Episodic series,United States of America,10002
456513,Shooting Permit,12/18/2018 06:15:00 AM,12/18/2018 11:15:00 AM,12/14/2018 06:33:02 PM,"Mayor's Office of Film, Theatre & Broadcasting",VAN DYKE STREET between FERRIS STREET and DEAD END,Brooklyn,6,76,Still Photography,Not Applicable,United States of America,11231
456512,Shooting Permit,12/19/2018 08:00:00 AM,12/20/2018 01:00:00 AM,12/14/2018 06:27:24 PM,"Mayor's Office of Film, Theatre & Broadcasting",VANDERBILT AVENUE between TALBOT PLACE and BAY STREET,Staten Island,1,120,Television,Episodic series,United States of America,10304
456479,Shooting Permit,12/19/2018 07:00:00 AM,12/19/2018 11:00:00 PM,12/14/2018 02:47:05 PM,"Mayor's Office of Film, Theatre & Broadcasting","WEST   80 STREET between COLUMBUS AVENUE and AMSTERDAM AVENUE,  AMSTERDAM AVENUE between WEST   79 STREET and WEST   82 STREET,  WEST   81 STREET between COLUMBUS AVENUE and AMSTERDAM AVENUE,  WEST   81 STREET between COLUMBUS AVENUE and AMSTERDAM AVENUE,  AMSTERDAM AVENUE between WEST   80 STREET and WEST   82 STREET,  WEST   82 STREET between AMSTERDAM AVENUE and BROADWAY",Manhattan,7,20,Television,Episodic series,United States of America,10024
456464,Shooting Permit,12/15/2018 04:00:00 PM,12/16/2018 07:00:00 AM,12/14/2018 01:23:22 PM,"Mayor's Office of Film, Theatre & Broadcasting","10 AVENUE between WEST   14 STREET and WEST   15 STREET,  WEST   15 STREET between 10 AVENUE and 11 AVENUE,  WEST   17 STREET between 9 AVENUE and 10 AVENUE,  WASHINGTON STREET between WEST   13 STREET and LITTLE WEST   12 STREET,  LITTLE WEST   12 STREET between WASHINGTON STREET and 9 AVENUE",Manhattan,"2, 4","10, 6",Television,Episodic series,United States of America,"10011, 10014"
456463,Shooting Permit,12/18/2018 06:00:00 AM,12/18/2018 09:00:00 PM,12/14/2018 01:11:05 PM,"Mayor's Office of Film, Theatre & Broadcasting","24 AVENUE between 29 STREET and 31 STREET,  24 AVENUE between 28 STREET and 29 STREET,  29 STREET between HOYT AVENUE NORTH and 24 AVENUE,  29 STREET between 23 AVENUE and 24 AVENUE,  46 STREET between 20 AVENUE and 21 AVENUE,  20 ROAD between 45 STREET and 46 STREET,  46 STREET between 20 AVENUE and 19 AVENUE,  20 AVENUE between 43 STREET and 45 STREET,  20 AVENUE between 45 STREET and 46 STREET,  20 AVENUE between 46 STREET and 47 STREET,  20 AVENUE between 45 STREET and 46 STREET,  20 AVENUE between 46 STREET and 47 STREET,  29 STREET between 23 AVENUE and 23 ROAD,  21 AVENUE between 45 STREET and 46 STREET",Queens,1,114,Television,Cable-episodic,United States of America,"11102, 11105"
456458,Shooting Permit,12/17/2018 07:00:00 AM,12/17/2018 03:30:00 PM,12/14/2018 12:55:10 PM,"Mayor's Office of Film, Theatre & Broadcasting","CENTRAL AVENUE between WILLOUGHBY AVENUE and HART STREET,  SUYDAM STREET between CENTRAL AVENUE and WILSON AVENUE",Brooklyn,4,83,Television,Episodic series,United States of America,11221
456455,Shooting Permit,12/20/2018 10:00:00 AM,12/21/2018 12:00:00 AM,12/14/2018 12:38:31 PM,"Mayor's Office of Film, Theatre & Broadcasting","KINGSLAND AVENUE between NORMAN AVENUE and GREENPOINT AVENUE,  NORMAN AVENUE between KINGSLAND AVENUE and HAUSMAN STREET",Brooklyn,1,94,Television,Episodic series,United States of America,11222
456453,Shooting Permit,12/15/2018 10:00:00 PM,12/16/2018 03:00:00 AM,12/14/2018 12:27:24 PM,"Mayor's Office of Film, Theatre & Broadcasting","ESSEX STREET between RIVINGTON STREET and STANTON STREET,  ESSEX STREET between RIVINGTON STREET and STANTON STREET,  ELDRIDGE STREET between RIVINGTON STREET and DELANCEY STREET",Manhattan,3,"5, 7",Film,Feature,United States of America,10002
456452,Shooting Permit,12/19/2018 11:00:00 AM,12/20/2018 02:00:00 AM,12/14/2018 12:23:00 PM,"Mayor's Office of Film, Theatre & Broadcasting","GRAND AVENUE between 69 STREET and 69 PLACE,  69 STREET between HULL AVENUE and GRAND AVENUE,  69 PLACE between HULL AVENUE and GRAND AVENUE,  GRAND AVENUE between 72 STREET and 72 PLACE,  57 AVENUE between 74 STREET and 80 STREET",Queens,"4, 5","104, 110",Television,Episodic series,United States of America,"11373, 11378"
